i,session,gap_length,prev_gap,mission,event,cum_spins_start,K_start,run_mean_prior,run_median_prior,expected_K_at100,deficit_K_at100,deficit_spins_at100,deficit_spins_at_median,prev2_sum,prev3_sum,pred_3win_300minus,pred_4win_400minus,pred_baseline,pred_lag1,pred_deficit_x033,deficit_spins_at_acctmean,deficit_spins_at_acctmedian,pred_def_acctmean_full,pred_def_acctmean_x033,pred_def_acctmedian_full,pred_def_acctmedian_x033,err_baseline,err_lag1,err_3win,err_4win,err_deficit_x033,err_def_acctmean_full,err_def_acctmean_x033,err_def_acctmedian_full,err_def_acctmedian_x033
0,S0,84,,37,bonus_as10_gae3_no,0,0,100.0,100.0,0.0,0.0,0.0,0.0,,,,,100.0,,100.0,0.0,0.0,122.4,122.4,116.0,116.0,-16.0,,,,-16.0,-38.4,-38.4,-32.0,-32.0
1,S0,85,84,37,bonus_as10_gae3_no,84,1,84.0,84,0.84,-0.16,-16.0,0.0,,,,,84.0,107.5,89.3,-38.4,-32.0,160.7,135.0,148.0,126.6,1.0,-22.5,,,-4.3,-75.7,-50.0,-63.0,-41.6
2,S0,197,85,37,bonus_as10_gae3_no,169,2,84.5,84.5,1.69,-0.31,-31.0,0.0,169,,131,,84.5,107.1,94.7,-75.7,-63.0,198.1,147.3,179.0,136.8,112.5,89.9,66,,102.3,-1.1,49.7,18.0,60.2
3,S0,219,197,37,bonus_bs15_gae3_no,366,3,122.0,85,3.66,0.66,66.0,111.0,282,366,18,34,122.0,70.3,100.2,-1.1,18.0,123.4,122.7,98.0,110.1,97.0,148.7,201,185,118.8,95.6,96.3,121.0,108.9
4,S0,136,219,37,bonus_bs15_gae3_no,585,4,146.2,141.0,5.85,1.85,185.0,21.0,416,501,-116,-101,146.2,63.0,85.2,95.6,121.0,26.8,90.8,-5.0,76.1,-10.2,73.0,252,237,50.8,109.2,45.2,141.0,59.9
5,S0,116,136,37,bonus_bs15_gae3_no,721,5,144.2,136,7.21,2.21,221.0,41.0,355,552,-55,-152,144.2,90.4,71.3,109.2,141.0,13.2,86.3,-25.0,69.5,-28.2,25.6,171,268,44.7,102.8,29.7,141.0,46.5
6,S0,139,116,38,bonus_bs15_gae3_no,837,6,139.5,126.0,8.37,2.37,237.0,81.0,252,471,48,-71,139.5,96.9,61.3,102.8,141.0,19.5,88.4,-25.0,69.5,-0.5,42.1,91,210,77.7,119.5,50.6,164.0,69.5
7,S0,19,139,40,,976,7,139.4,136,9.76,2.76,276.0,24.0,255,391,45,9,139.4,89.4,48.3,119.5,164.0,2.9,82.9,-48.0,61.9,-120.4,-70.4,-26,10,-29.3,16.1,-63.9,67.0,-42.9
8,S0,110,19,42,,995,8,124.4,126.0,9.95,1.95,195.0,-13.0,158,274,142,126,124.4,128.8,60.0,16.1,67.0,106.2,117.0,49.0,93.9,-14.4,-18.8,-32,-16,50.0,3.8,-7.0,61.0,16.1
9,S0,163,110,42,,1105,9,122.8,116,11.05,2.05,205.0,61.0,129,268,171,132,122.8,98.9,55.1,3.8,61.0,118.6,121.1,55.0,95.9,40.2,64.1,-8,31,107.9,44.4,41.9,108.0,67.1
10,S0,19,163,42,,1268,10,126.8,126.0,12.68,2.68,268.0,8.0,273,292,27,108,126.8,81.5,38.4,44.4,108.0,78.0,107.7,8.0,80.4,-107.8,-62.5,-8,-89,-19.4,-59.0,-88.7,11.0,-61.4
11,S0,250,19,42,,1287,11,117.0,116,12.87,1.87,187.0,11.0,182,292,118,108,117.0,128.8,55.3,-59.0,11.0,181.3,141.8,105.0,112.4,133.0,121.2,132,142,194.7,68.7,108.2,145.0,137.6
12,S0,154,250,42,,1537,12,128.1,126.0,15.37,3.37,337.0,25.0,269,432,31,-32,128.1,52.8,16.9,68.7,145.0,53.7,99.7,-29.0,68.2,25.9,101.2,123,186,137.1,100.3,54.3,183.0,85.8
13,S0,18,154,42,,1691,13,130.1,136,16.91,3.91,391.0,-77.0,404,423,-104,-23,130.1,84.4,1.0,100.3,183.0,22.0,89.3,-67.0,55.6,-112.1,-66.4,122,41,17.0,-4.0,-71.3,85.0,-37.6
14,S0,40,18,42,,1709,14,122.1,126.0,17.09,3.09,309.0,-55.0,172,422,128,-22,122.1,129.2,20.1,-4.0,85.0,126.4,123.7,31.0,88.0,-82.1,-89.2,-88,62,19.9,-86.4,-83.7,9.0,-48.0
15,S0,340,40,42,,1749,15,116.6,116,17.49,2.49,249.0,9.0,58,212,242,188,116.6,121.9,34.4,-86.4,9.0,208.8,150.9,107.0,113.0,223.4,218.1,98,152,305.6,131.2,189.1,233.0,227.0
16,S0,90,340,42,,2089,16,130.6,126.0,20.89,4.89,489.0,73.0,380,398,-80,2,130.6,23.2,-30.8,131.2,233.0,-8.9,79.1,-117.0,39.1,-40.6,66.8,170,88,120.8,98.9,10.9,207.0,50.9
17,S0,159,90,42,bonus_as10_gae3_no,2179,17,128.2,116,21.79,4.79,479.0,207.0,430,470,-130,-70,128.2,105.5,-29.9,98.9,207.0,23.5,89.7,-91.0,47.7,30.8,53.5,289,229,188.9,135.5,69.3,250.0,111.3
18,S1,133,159,27,bonus_as10_gae1_no,2338,18,129.9,126.0,23.38,5.38,538.0,70.0,249,589,51,-189,129.9,82.8,-47.7,135.5,250.0,-13.2,77.6,-134.0,33.5,3.1,50.2,82,322,180.7,146.2,55.4,267.0,99.5
19,S1,103,133,27,bonus_as10_gae1_no,2471,19,130.1,133,24.71,5.71,571.0,-56.0,292,382,8,18,130.1,91.3,-58.4,146.2,267.0,-23.8,74.1,-151.0,27.9,-27.1,11.7,95,85,161.4,126.8,28.9,254.0,75.1
20,S1,76,103,27,bonus_as10_gae1_no,2574,20,128.7,124.5,25.74,5.74,574.0,84.0,236,395,64,5,128.7,101.2,-60.7,126.8,254.0,-4.4,80.5,-138.0,32.2,-52.7,-25.2,12,71,136.7,80.4,-4.5,214.0,43.8
21,S1,122,76,32,bonus_as10_gae1_no,2650,21,126.2,116,26.5,5.5,550.0,214.0,179,312,121,88,126.2,110.1,-55.3,80.4,214.0,41.9,95.8,-98.0,45.4,-4.2,11.9,1,34,177.3,80.1,26.2,220.0,76.6
22,S1,149,122,32,bonus_as10_gae1_no,2772,22,126.0,119.0,27.72,5.72,572.0,154.0,198,301,102,99,126.0,95.0,-62.8,80.1,220.0,42.3,95.9,-104.0,43.4,23.0,54.0,47,50,211.8,106.7,53.1,253.0,105.6
23,S1,64,149,36,,2921,23,127.0,122,29.21,6.21,621.0,115.0,271,347,29,53,127.0,86.1,-77.9,106.7,253.0,15.6,87.1,-137.0,32.5,-63.0,-22.1,35,11,141.9,48.4,-23.1,201.0,31.5
24,S1,74,64,37,bonus_as10_gae1_no,2985,24,124.4,119.0,29.85,5.85,585.0,129.0,213,335,87,65,124.4,114.0,-68.7,48.4,201.0,74.0,106.4,-85.0,49.7,-50.4,-40.0,-13,9,142.7,-0.0,-32.4,159.0,24.3
